2025-05-06 13:40:11 - Spot 11 OCCUPIED - Coords: [[689, 436], [741, 427], [687, 378], [641, 388]] - Occupied: 3 - Available: 14
2025-05-06 13:40:11 - Spot 13 OCCUPIED - Coords: [[914, 386], [947, 380], [892, 346], [866, 350]] - Occupied: 4 - Available: 13
2025-05-06 13:40:11 - Spot 14 OCCUPIED - Coords: [[947, 380], [970, 372], [919, 342], [892, 346]] - Occupied: 5 - Available: 12
2025-05-06 13:40:11 - Spot 15 OCCUPIED - Coords: [[972, 371], [994, 368], [940, 335], [919, 342]] - Occupied: 6 - Available: 11
2025-05-06 13:40:11 - Spot 17 OCCUPIED - Coords: [[1011, 360], [1031, 352], [979, 324], [962, 330]] - Occupied: 7 - Available: 10
2025-05-06 13:40:13 - Spot 2 OCCUPIED - Coords: [[102, 431], [84, 495], [151, 495], [160, 430]] - Occupied: 1 - Available: 16
2025-05-06 13:40:13 - Spot 3 OCCUPIED - Coords: [[159, 428], [222, 428], [219, 489], [149, 496]] - Occupied: 2 - Available: 15
2025-05-06 13:40:13 - Spot 4 OCCUPIED - Coords: [[217, 491], [290, 488], [282, 422], [221, 426]] - Occupied: 3 - Available: 14
2025-05-06 13:40:13 - Spot 6 OCCUPIED - Coords: [[363, 482], [436, 473], [410, 412], [348, 417]] - Occupied: 4 - Available: 13
2025-05-06 13:40:13 - Spot 12 OCCUPIED - Coords: [[744, 427], [793, 418], [727, 368], [689, 378]] - Occupied: 8 - Available: 9
2025-05-06 13:40:13 - Spot 16 OCCUPIED - Coords: [[994, 366], [1012, 361], [961, 330], [940, 335]] - Occupied: 11 - Available: 6
2025-05-06 13:40:15 - Spot 14 OCCUPIED - Coords: [[947, 380], [970, 372], [919, 342], [892, 346]] - Occupied: 9 - Available: 8
2025-05-06 13:40:19 - Spot 14 OCCUPIED - Coords: [[947, 380], [970, 372], [919, 342], [892, 346]] - Occupied: 9 - Available: 8
2025-05-06 13:40:20 - Spot 15 OCCUPIED - Coords: [[972, 371], [994, 368], [940, 335], [919, 342]] - Occupied: 8 - Available: 9
2025-05-06 13:40:21 - Spot 6 OCCUPIED - Coords: [[363, 482], [436, 473], [410, 412], [348, 417]] - Occupied: 3 - Available: 14
2025-05-06 13:40:23 - Spot 5 OCCUPIED - Coords: [[292, 487], [282, 420], [348, 417], [363, 482]] - Occupied: 3 - Available: 14
